states,states_code,id,year,population,pop_growth
Rhode Island,RI,44,2013,1055081,0.043617565
Rhode Island,RI,44,2014,1055936,0.081036432
Rhode Island,RI,44,2015,1056065,0.012216649
Rhode Island,RI,44,2016,1056770,0.066757255
Rhode Island,RI,44,2017,1055673,-0.103806883
Rhode Island,RI,44,2018,1058287,0.247614555
Rhode Island,RI,44,2019,1059361,0.101484758
South Carolina,SC,45,2010,4635649,
South Carolina,SC,45,2011,4671994,0.784032613
South Carolina,SC,45,2012,4717354,0.970891658
South Carolina,SC,45,2013,4764080,0.990512902
South Carolina,SC,45,2014,4823617,1.249706134
South Carolina,SC,45,2015,4891938,1.416385256
South Carolina,SC,45,2016,4957968,1.349771808
South Carolina,SC,45,2017,5021268,1.276732726
South Carolina,SC,45,2018,5084156,1.252432652
South Carolina,SC,45,2019,5148714,1.269787945
South Dakota,SD,46,2010,816166,
South Dakota,SD,46,2011,823579,0.908271112
South Dakota,SD,46,2012,833566,1.212634125
South Dakota,SD,46,2013,842316,1.049706922
South Dakota,SD,46,2014,849129,0.808841337
South Dakota,SD,46,2015,853988,0.57223343
South Dakota,SD,46,2016,862996,1.054815759
South Dakota,SD,46,2017,872868,1.143921872
South Dakota,SD,46,2018,878698,0.667913132
South Dakota,SD,46,2019,884659,0.678390073
Tennessee,TN,47,2010,6355311,
Tennessee,TN,47,2011,6399291,0.692019635
Tennessee,TN,47,2012,6453898,0.853328908
Tennessee,TN,47,2013,6494340,0.626629054
Tennessee,TN,47,2014,6541223,0.721905536
Tennessee,TN,47,2015,6591170,0.763572806
Tennessee,TN,47,2016,6646010,0.832022236
Tennessee,TN,47,2017,6708799,0.944762346
Tennessee,TN,47,2018,6771631,0.936561074
Tennessee,TN,47,2019,6829174,0.849765736
Texas,TX,48,2010,25241971,
Texas,TX,48,2011,25645629,1.599154044
Texas,TX,48,2012,26084481,1.711215584
Texas,TX,48,2013,26480266,1.517319819
Texas,TX,48,2014,26964333,1.82802922
Texas,TX,48,2015,27470056,1.875525718
Texas,TX,48,2016,27914410,1.617594081
Texas,TX,48,2017,28295273,1.364395665
Texas,TX,48,2018,28628666,1.178263945
Texas,TX,48,2019,28995881,1.282682889
Utah,UT,49,2010,2775332,
Utah,UT,49,2011,2814384,1.407110933
Utah,UT,49,2012,2853375,1.385418621
Utah,UT,49,2013,2897640,1.551320804
Utah,UT,49,2014,2936879,1.354170981
Utah,UT,49,2015,2981835,1.530740626
Utah,UT,49,2016,3041868,2.013290474
Utah,UT,49,2017,3101042,1.945317811
Utah,UT,49,2018,3153550,1.693237305
Utah,UT,49,2019,3205958,1.661873127
Vermont,VT,50,2010,625879,
Vermont,VT,50,2011,627049,0.186937092
Vermont,VT,50,2012,626090,-0.152938606
Vermont,VT,50,2013,626210,0.019166573
Vermont,VT,50,2014,625214,-0.159052075
Vermont,VT,50,2015,625216,0.00031989
Vermont,VT,50,2016,623657,-0.249353823
Vermont,VT,50,2017,624344,0.110156705
Vermont,VT,50,2018,624358,0.002242354
Vermont,VT,50,2019,623989,-0.059100708
Virginia,VA,51,2010,8023699,
Virginia,VA,51,2011,8101155,0.9653403
Virginia,VA,51,2012,8185080,1.03596339
Virginia,VA,51,2013,8252427,0.822801976
Virginia,VA,51,2014,8310993,0.709682134
Virginia,VA,51,2015,8361808,0.611419117
Virginia,VA,51,2016,8410106,0.577602356
Virginia,VA,51,2017,8463587,0.635913507
Virginia,VA,51,2018,8501286,0.445425799
Virginia,VA,51,2019,8535519,0.402680253
Washington,WA,53,2010,6742830,
Washington,WA,53,2011,6826627,1.242757121
Washington,WA,53,2012,6897058,1.031710096
Washington,WA,53,2013,6963985,0.970370265
Washington,WA,53,2014,7054655,1.301984424
Washington,WA,53,2015,7163657,1.54510745
Washington,WA,53,2016,7294771,1.830266301
Washington,WA,53,2017,7423362,1.762783232
Washington,WA,53,2018,7523869,1.353928314
Washington,WA,53,2019,7614893,1.209803095
West Virginia,WV,54,2010,1854239,
West Virginia,WV,54,2011,1856301,0.111204651
West Virginia,WV,54,2012,1856872,0.030760098
